datetime,avg_predicted_util,avg_tariff_inr,avg_actual_util
2022-07-14 13:00:00,0.2646251624168225,0.2646251624168225,14.382454632891088
2022-07-14 14:00:00,0.23242155671763273,0.23242155671763273,14.314036503213142
2022-07-14 15:00:00,0.22817531111531414,0.22817531111531414,14.298838031102807
2022-07-14 16:00:00,0.22908305015883806,0.22908305015883806,14.312109914190343
2022-07-14 17:00:00,0.23711666193670686,0.23711666193670686,14.333754555843438
2022-07-14 18:00:00,0.2769999904864151,0.2769999904864151,14.419017955908746
2022-07-14 19:00:00,0.2980600947827006,0.2980600947827006,14.458345071371125
2022-07-14 20:00:00,0.3005210895656873,0.3005210895656873,14.481268529163607
2022-07-14 21:00:00,0.3113309883992051,0.3113309883992051,14.502213607220956
2022-07-14 22:00:00,0.32289730212683293,0.32289730212683293,14.513373792893956
2022-07-14 23:00:00,0.35275450076786474,0.35275450076786474,14.5536051657199
2022-07-15 00:00:00,0.3545536452425277,0.3545536452425277,14.597173817021314
2022-07-15 01:00:00,0.35018963398491626,0.35018963398491626,14.584269453110158
2022-07-15 02:00:00,0.3477834657795679,0.3477834657795679,14.57757751005345
2022-07-15 03:00:00,0.34454841467942415,0.34454841467942415,14.57444822640887
2022-07-15 04:00:00,0.34904513599196213,0.34904513599196213,14.575098311050803
2022-07-15 05:00:00,0.35388921853034777,0.35388921853034777,14.605626502927272
2022-07-15 06:00:00,0.32255780328532835,0.32255780328532835,14.536960274254554
2022-07-15 07:00:00,0.2739122573084773,0.2739122573084773,14.471113353831825
2022-07-15 08:00:00,0.26407202581602435,0.26407202581602435,14.438009331339497
2022-07-15 09:00:00,0.246094691108938,0.246094691108938,14.36005337237285
2022-07-15 10:00:00,0.2346151357864994,0.2346151357864994,14.320916984287734
2022-07-15 11:00:00,0.2534713444819321,0.2534713444819321,14.364387544690269
2022-07-15 12:00:00,0.2616701824520582,0.2616701824520582,14.385837386964745
2022-07-15 13:00:00,0.2435940953471629,0.2435940953471629,14.326854033993893
