feature,importance
congestion_proxy,1.776347063523356
util_roll_288,0.07176010001513027
util_roll_12,0.056281301373615866
hour,0.04407233038608904
volume_kwh,0.009827835011832065
fast_ratio,0.008837622303777914
price_cny,0.004519725713622735
area,0.0025023831806923135
count,0.002057459621232649
day_of_week,0.0017759862522777725
util_lag_168,0.0012398318976054145
util_lag_24,0.0010913362863119059
CBD,0.000881189814019856
month,4.2472733638998506e-06
is_weekend,0.0
